Hours,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Gender,Age,Work,Residence,SPIN_T,Multiplayer,Online,Relation,SPIN_M,whyplay
25.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,Male,19,Student at college / university,Croatia,21.0,yes,yes,strangers,Mild,improving
42.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,Male,27,Employed,India,15.0,yes,yes,various,,fun
20.0,1.0,0.0,0.0,4.0,0.0,1.0,2.0,3.0,2.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,Female,21,Employed,Germany,21.0,yes,yes,online acquaintaces,Mild,fun
14.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Male,18,Student at college / university,Netherlands,11.0,yes,yes,online acquaintaces,,relaxing
80.0,1.0,0.0,0.0,2.0,2.0,4.0,4.0,2.0,4.0,0.0,4.0,4.0,0.0,3.0,2.0,1.0,4.0,Male,18,Student at college / university,UK,37.0,yes,yes,strangers,Moderate,winning
50.0,2.0,1.0,3.0,4.0,3.0,2.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,Male,19,Student at college / university,USA,34.0,yes,yes,strangers,Moderate,improving
40.0,1.0,3.0,3.0,3.0,0.0,1.0,2.0,3.0,4.0,4.0,3.0,1.0,0.0,2.0,1.0,1.0,3.0,Male,22,Student at college / university,Denmark,35.0,yes,yes,online acquaintaces,Moderate,fun
10.0,1.0,2.0,0.0,3.0,0.0,1.0,3.0,3.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,Female,20,Employed,Portugal,25.0,yes,yes,friends,Mild,fun
10.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Male,22,Student at college / university,UK,12.0,yes,yes,strangers,,improving
28.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,21,Student at college / university,France,4.0,yes,yes,online acquaintaces,,improving
30.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,2.0,1.0,0.0,1.0,4.0,0.0,3.0,1.0,0.0,0.0,Male,20,Unemployed / between jobs,France,22.0,yes,yes,friends,Mild,fun
20.0,0.0,1.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,0.0,3.0,1.0,2.0,3.0,1.0,0.0,1.0,Male,23,Student at college / university,France,33.0,yes,yes,strangers,Moderate,fun
28.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,0.0,4.0,3.0,0.0,3.0,1.0,1.0,2.0,Male,21,Employed,UK,34.0,yes,yes,online acquaintaces,Moderate,fun
40.0,0.0,3.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,0.0,3.0,0.0,0.0,4.0,4.0,0.0,1.0,Male,23,Unemployed / between jobs,Argentina,26.0,yes,yes,online acquaintaces,Mild,improving
30.0,0.0,3.0,2.0,4.0,4.0,4.0,2.0,3.0,1.0,1.0,4.0,2.0,1.0,4.0,3.0,0.0,2.0,Male,18,Student at school,Germany,40.0,no,no,alone,Moderate,fun
